id,zminuje_youtube,zminuje_tomio,zminuje_okamura,zminuje_ab_handle,zminuje_babis,zminuje_cr,zminuje_ovce_handle,zminuje_spd,zminuje_zeman,zminuje_clovek,zminuje_migrant,zminuje_prezident,zminuje_rok,zminuje_vlada,zminuje_volba,zminuje_cesky,zminuje_dalsi,zminuje_dobry,zminuje_islamsky,zminuje_jiny,zminuje_velky,zminuje_ja,zminuje_on,zminuje_se,sloves,prislovci,zajmen,vet,name,original,source
1081138955247075300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,2,4,2,Tomio_Okamura,TRUE,Twitter for Android
1081175808192987100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,Tomio_Okamura,TRUE,Twitter Web Client
1081505342012280800,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1081681167152226300,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,Tomio_Okamura,FALSE,Twitter Web Client
1081955460402630700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,Tomio_Okamura,TRUE,Twitter Web Client
1081959896701116400,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,2,0,1,10,2,5,4,Tomio_Okamura,TRUE,Twitter Web Client
1081971985561931800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,11,3,6,4,Tomio_Okamura,TRUE,Twitter Web Client
1082001497217527800,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1082259390005211100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,3,3,Tomio_Okamura,TRUE,Twitter for Android
1082334748138242e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Tomio_Okamura,FALSE,Twitter Web Client
1082334996722057200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,Tomio_Okamura,TRUE,Twitter Web Client
1.0825378413206159e+18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1082571634245013500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Tomio_Okamura,TRUE,Twitter Web Client
1082609703086186500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,Tomio_Okamura,TRUE,Twitter for Android
1082633739946127400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,2,Tomio_Okamura,TRUE,Twitter Web Client
1082660781437714400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,2,Tomio_Okamura,TRUE,Twitter Web Client
1082687741379391500,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,tomio_cz,TRUE,Google
1082869510791745500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,2,3,Tomio_Okamura,TRUE,Twitter Web Client
1082885853763043300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,2,Tomio_Okamura,TRUE,Twitter for Android
1082976133732360200,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,Tomio_Okamura,FALSE,Twitter for Android
1083084293692424200,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tomio_cz,TRUE,Google
1083118457225392100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,Tomio_Okamura,TRUE,Twitter for Android
1083118672372211700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Tomio_Okamura,TRUE,Twitter for Android
1083118797274386400,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,Tomio_Okamura,FALSE,Twitter for Android
1083399866959708200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,1,2,1,Tomio_Okamura,TRUE,Twitter Web Client
